Anio,Comunes,Elite,Recursos,Alimento
39.0,208.61996692156825,52.15499173039206,99.10029633992347,21.21734618121638
40.0,212.83436981007185,53.20859245251796,99.08212438288665,22.004318699466484
41.0,217.13390928526374,54.283477321315935,99.06358546370922,22.807015506604536
42.0,221.52030521594952,55.38007630398738,99.0446721750265,23.62574716987668
43.0,225.9953122277686,56.49882805694215,99.02537695381238,24.460830243444512
44.0,230.5607203707032,57.6401800926758,99.0056921023917,25.312587371831235
45.0,235.21835588398466,58.804588970996164,98.98560973879667,26.181347409287767
46.0,239.97008186736957,59.99252046684239,98.96512186062577,27.067445521649866
47.0,244.81779909142398,61.204449772855995,98.94422025880087,27.971223312766465
48.0,249.7634466920703,62.44086167301757,98.92289660685053,28.893028928034912
49.0,254.80900300741632,63.70225075185408,98.90114236429534,29.833217184254064
50.0,259.956486318395,64.98912157959874,98.87894885783642,30.79214967903113
51.0,265.2079556901597,66.30198892253992,98.85630721070855,31.770194919621193
52.0,270.5655117832398,67.64137794580995,98.83320838155662,32.767728442720426
53.0,276.0312976829243,69.00782442073107,98.80964314874582,33.78513293878124
54.0,281.6074997899297,70.40187494748243,98.78560208514732,34.82279838407526
55.0,287.29634864231593,71.82408716057898,98.761075610211,35.88112216054552
56.0,293.10011987466044,73.27502996866511,98.73605389858257,36.960509198511126
57.0,299.02113505323115,74.75528376330779,98.71052698916037,38.06137209511612
58.0,305.06176268152774,76.26544067038193,98.68448465356867,39.18413126364173
59.0,311.2244190765459,77.80610476913648,98.65791652029446,40.32921505549983
60.0,317.5115693914454,79.37789234786135,98.6308119574574,41.49705991021301
61.0,323.9257285691107,80.98143214227767,98.6031601515268,42.68811048775905
62.0,330.46946235197856,82.61736558799464,98.5749500619409,43.90281981289266
63.0,337.14538833421136,84.28634708355284,98.54617040846,45.14164942221454
64.0,343.9561769569919,85.98904423924797,98.51680972626953,46.4050695012685
65.0,350.90455264708385,87.72613816177096,98.4868562551896,47.69355904483788
66.0,357.9932948275723,89.49832370689307,98.45629807518105,49.00760599111509
67.0,365.22523910638483,91.30630977659621,98.42512294924524,50.347707388530196
68.0,372.60327834822107,93.15081958705527,98.39331845688794,51.714369535463156
69.0,380.13036386688896,95.03259096672224,98.36087189038938,53.108108143835196
70.0,387.8095066063365,96.95237665158413,98.3277702886962,54.529448493943384
71.0,395.64377830948183,98.91094457737046,98.29400046292082,55.97892558794578
72.0,403.63631280951466,100.90907820237867,98.25954889391843,57.457084321355524
73.0,411.7903072079615,102.94757680199038,98.22440187246804,58.964479630436564
74.0,420.109023224937,105.02725580623425,98.18854533462036,60.50167667113989
75.0,428.5957884536379,107.14894711340948,98.15196498794934,62.0692509730376
76.0,437.25399770599375,109.31349942649844,98.11464623685977,63.66778861169419
77.0,446.08711439676586,111.52177859919146,98.07657416142844,65.29788638077895
78.0,455.098671871385,113.77466796784626,98.03773360838296,66.96015195232043
79.0,464.29227488998697,116.07306872249674,97.99810903753755,68.65520406306456
80.0,473.67160100841505,118.41790025210376,97.95768466476991,70.383672674639
81.0,483.2404020774308,120.8101005193577,97.91644435929281,72.1461991565256
82.0,493.0025057592341,123.25062643980853,97.874371641464,73.94343646367
